Rent,Bedrooms,Sq.Mt,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semidetached,Bedrooms / Sq.Mt,Elevator x Penthouse,Bedrooms x Duplex,Outer x Penthouse,Outer x Duplex,District_barajas,District_carabanchel,District_centro,District_chamartin,District_chamberi,District_ciudad lineal,District_fuencarral,District_hortaleza,District_latina,District_moncloa,District_moratalaz,District_puente vallecas,District_retiro,District_salamanca,District_san blas,District_tetuan,District_usera,District_vicalvaro,District_villa de vallecas,Prediction
2490,0,97,7.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036.6732000000002
1300,3,110,4.0,1,1,0,0,0,0,0.02727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1426.5852
600,1,45,2.0,1,1,0,0,0,0,0.022222222222222223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.3084000000001
1900,0,90,7.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355.5714
1500,4,110,3.0,1,1,0,0,0,0,0.03636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2162.8095
1650,2,107,3.0,1,1,0,0,0,0,0.018691588785046728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959.3116000000002
3200,0,220,6.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202.4159
3500,0,112,8.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236.6626
1250,0,47,3.0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339.9436
600,2,60,0.0,0,1,0,0,0,0,0.03333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.4191000000001
1750,2,55,5.0,1,1,0,0,0,0,0.03636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,903.9786
2100,5,190,2.0,1,1,0,0,0,0,0.02631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2162.1144
2490,3,110,3.0,1,1,0,0,0,0,0.02727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1381.4378
5200,4,217,6.0,1,1,0,0,0,0,0.018433179723502304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3587.1623
780,1,53,1.0,1,1,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,702.7434000000001
870,2,75,1.0,1,1,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,929.845
3690,0,398,3.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4872.4553
1200,0,70,6.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2069.7107
900,1,38,1.0,0,1,0,0,0,0,0.02631578947368421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.3071000000001
2430,2,73,2.0,1,1,0,0,0,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1735.7185000000002
600,2,68,1.0,0,1,0,0,0,0,0.029411764705882353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.1489
2200,4,205,2.0,1,1,0,0,0,0,0.01951219512195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2316.9563999999996
1000,2,60,5.0,0,1,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294.1840000000002
3100,4,300,4.0,1,1,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3387.9172
1400,2,112,13.0,1,1,0,0,0,0,0.017857142857142856,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1709.3451
1000,1,55,1.0,1,1,0,0,0,0,0.01818181818181818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.4401
1500,1,75,1.0,1,1,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447.8961
950,1,66,1.0,1,1,0,0,0,0,0.015151515151515152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,836.9398000000001
2200,5,220,1.0,1,1,0,0,0,0,0.022727272727272728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.7021
1090,2,90,2.0,1,1,0,0,0,0,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1129.8344000000002
1200,2,84,3.0,0,1,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1682.9802
1125,2,40,1.0,1,1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1534.2897
2700,2,119,2.0,1,1,0,0,0,0,0.01680672268907563,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038.0378
7500,4,557,2.0,1,1,0,0,0,0,0.00718132854578097,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6559.4241999999995
1750,1,74,15.0,1,1,0,0,0,0,0.013513513513513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1551.5858
1400,2,85,4.0,0,1,0,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,957.0787000000001
900,1,70,10.0,1,1,0,0,0,0,0.014285714285714285,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1140.3453000000002
850,1,45,3.0,1,1,0,0,0,0,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,710.4558000000001
1150,1,70,2.0,1,1,0,0,0,0,0.014285714285714285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.2206
1000,1,85,1.0,1,1,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.1241
3800,0,300,4.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996.7594
5000,5,530,0.0,1,0,0,1,0,0,0.009433962264150943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5581.5716
1200,1,65,3.0,0,1,0,0,0,0,0.015384615384615385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.3175
6000,6,700,0.0,1,0,0,1,0,0,0.008571428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7336.4476
1500,4,143,4.0,1,1,0,0,0,0,0.027972027972027972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767.2376000000002
850,3,80,4.0,1,1,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1116.9012
2160,1,72,3.0,1,1,0,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507.2225
1250,1,75,3.0,1,1,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,875.9275
2500,2,130,2.0,1,1,0,0,0,0,0.015384615384615385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151.5886
2800,5,210,4.0,1,1,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2976.9163
3200,4,205,2.0,1,1,0,0,0,0,0.01951219512195122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835.0074999999997
1100,2,95,3.0,1,1,0,0,0,0,0.021052631578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2192.3385
1550,1,92,1.0,1,1,0,0,0,0,0.010869565217391304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1714.1748
1500,3,110,6.0,1,1,0,0,0,0,0.02727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2298.2517
2500,4,150,3.0,1,1,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312.4009
8000,6,1160,0.0,1,0,0,1,0,0,0.005172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12084.9356
1500,2,60,3.0,0,1,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1619.604
6000,6,750,0.0,1,0,0,1,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7852.5876
1800,4,150,5.0,1,1,0,0,0,0,0.02666666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1884.6446
1150,3,140,1.0,1,1,0,0,0,0,0.02142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1600.827
880,1,55,4.0,0,1,0,0,0,0,0.01818181818181818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197.4226
950,1,65,10.0,1,1,0,0,0,0,0.015384615384615385,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1232.9436
2970,2,65,28.0,1,1,0,0,0,0,0.03076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2045.5968
4100,3,200,0.5,1,1,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2978.9930000000004
1100,0,70,5.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,914.6083
2500,3,165,4.0,1,1,0,0,0,0,0.01818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2775.7109
1100,0,68,4.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,848.8153000000001
1200,1,60,0.0,0,1,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1484.1618
1000,2,70,0.0,0,1,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1587.3898
3500,0,110,5.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2437.4753
2000,2,115,4.0,1,1,0,0,0,0,0.017391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2443.9419
950,0,60,4.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,766.2329000000001
800,2,63,3.0,1,1,0,0,0,0,0.031746031746031744,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,896.2662
700,0,35,3.0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,607.2278
1200,1,50,4.0,1,1,0,0,0,0,0.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416.0594
1500,3,105,1.0,1,1,0,0,1,0,0.02857142857142857,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1239.529
1300,3,98,4.0,1,1,0,0,0,0,0.030612244897959183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1302.7116
725,3,59,3.0,1,1,0,0,0,0,0.05084745762711865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,854.975
2300,3,60,3.0,1,1,0,0,0,0,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474.14
1400,2,100,5.0,1,1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2149.8763000000004
1300,3,100,1.0,1,1,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.9150000000002
2100,4,171,0.0,1,0,0,1,0,0,0.023391812865497075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1731.4741000000001
1650,0,101,5.0,1,1,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1378.8274000000001
1100,2,85,2.0,0,1,0,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1832.5266000000001
1250,2,100,1.0,1,1,0,0,0,0,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.9150000000002
